Region,Species,Diel,Habitat,Foraging mode,Site,year_range,Tb (n)
Africa,Agama aculeata,Diurnal,Terrestrial,Day-active,KL_X,1970 - 1970,49
Africa,Agama aculeata,Diurnal,Terrestrial,Day-active,KL_A,1970 - 1970,25
Africa,Chondrodactylus angulifer,Nocturnal,Terrestrial,Reclusive,KL_A,1969 - 1970,60
Africa,Chondrodactylus angulifer,Nocturnal,Terrestrial,Reclusive,KL_T,1970 - 1970,57
Africa,Meroles suborbitalis,Diurnal,Terrestrial,Day-active,KL_L,1969 - 1970,135
Africa,Meroles suborbitalis,Diurnal,Terrestrial,Day-active,KL_A,1969 - 1970,113
Africa,Meroles suborbitalis,Diurnal,Terrestrial,Day-active,KL_X,1970 - 1970,46
Africa,Pedioplanis lineoocellata,Diurnal,Terrestrial,Day-active,KL_A,1969 - 1970,115
Africa,Pedioplanis lineoocellata,Diurnal,Terrestrial,Day-active,KL_T,1970 - 1970,86
Africa,Trachylepis sparsa,Diurnal,Arboreal,Day-active,KL_B,1969 - 1970,85
Africa,Trachylepis sparsa,Diurnal,Arboreal,Day-active,KL_K,1969 - 1970,84
Australia,Ctenophorus isolepis,Diurnal,Terrestrial,Reclusive,AU_L,1978 - 1990,570
Australia,Ctenophorus isolepis,Diurnal,Terrestrial,Reclusive,AU_R,1978 - 1990,242
Australia,Ctenotus quatt,Diurnal,Terrestrial,Day-active,AU_L,1967 - 1990,218
Australia,Ctenotus quatt,Diurnal,Terrestrial,Day-active,AU_R,1978 - 1991,128
Australia,Gehyra variegata,Nocturnal,Terrestrial,Day-active,AU_R,1978 - 1979,382
Australia,Gehyra variegata,Nocturnal,Terrestrial,Day-active,AU_L,1967 - 1979,329
Australia,Moloch horridus,Diurnal,Terrestrial,Day-active,AU_R,1978 - 1991,92
Australia,Moloch horridus,Diurnal,Terrestrial,Day-active,AU_E,1967 - 1995,56
Australia,Moloch horridus,Diurnal,Terrestrial,Day-active,AU_L,1967 - 1990,17
Australia,Moloch horridus,Diurnal,Terrestrial,Day-active,AU_D,1967 - 1967,12
Australia,Pogona minor,Diurnal,Terrestrial,Day-active,AU_R,1978 - 1998,21
Australia,Pogona minor,Diurnal,Terrestrial,Day-active,AU_A,1966 - 1968,19
Australia,Pogona minor,Diurnal,Terrestrial,Day-active,AU_L,1967 - 1990,18
Australia,Pogona minor,Diurnal,Terrestrial,Day-active,AU_I,1967 - 1967,12